"Date","Price","Open","High","Low","Vol.","Change %"
"24-10-2024","42,830.00","42,830.00","42,830.00","42,830.00","","-0.72%"
"23-10-2024","43,140.00","43,140.00","43,140.00","43,140.00","","-0.71%"
"22-10-2024","43,450.00","43,450.00","43,450.00","43,450.00","","-1.16%"
"21-10-2024","43,960.00","43,960.00","43,960.00","43,960.00","","-0.66%"
"18-10-2024","44,250.00","44,250.00","44,250.00","44,250.00","","0.55%"
"17-10-2024","44,010.00","44,010.00","44,010.00","44,010.00","","-0.92%"
"16-10-2024","44,420.00","44,420.00","44,420.00","44,420.00","","0.43%"
"15-10-2024","44,230.00","44,230.00","44,230.00","44,230.00","","-0.25%"
"14-10-2024","44,340.00","44,340.00","44,340.00","44,340.00","","0.86%"
"11-10-2024","43,960.00","43,960.00","43,960.00","43,960.00","","-0.48%"
"10-10-2024","44,170.00","44,170.00","44,170.00","44,170.00","","-0.25%"
"09-10-2024","44,280.00","44,280.00","44,280.00","44,280.00","","-0.92%"
"08-10-2024","44,690.00","44,690.00","44,690.00","44,690.00","","1.11%"
"07-10-2024","44,200.00","44,200.00","44,200.00","44,200.00","","-0.29%"
"04-10-2024","44,330.00","44,330.00","44,330.00","44,330.00","","0.45%"
"03-10-2024","44,130.00","44,130.00","44,130.00","44,130.00","","0.64%"
"01-10-2024","43,850.00","43,850.00","43,850.00","43,850.00","","0.44%"
"30-09-2024","43,660.00","43,660.00","43,660.00","43,660.00","","1.11%"
"27-09-2024","43,180.00","43,180.00","43,180.00","43,180.00","","-0.94%"
"26-09-2024","43,590.00","43,590.00","43,590.00","43,590.00","","1.61%"
"25-09-2024","42,900.00","42,900.00","42,900.00","42,900.00","","1.54%"
"24-09-2024","42,250.00","42,250.00","42,250.00","42,250.00","","1.29%"
"23-09-2024","41,710.00","41,710.00","41,710.00","41,710.00","","1.61%"
"20-09-2024","41,050.00","41,050.00","41,050.00","41,050.00","","-0.51%"
"19-09-2024","41,260.00","41,260.00","41,260.00","41,260.00","","0.83%"
"18-09-2024","40,920.00","40,920.00","40,920.00","40,920.00","","-0.02%"
"17-09-2024","40,930.00","40,930.00","40,930.00","40,930.00","","0.71%"
"16-09-2024","40,640.00","40,640.00","40,640.00","40,640.00","","-1.50%"
"13-09-2024","41,260.00","41,260.00","41,260.00","41,260.00","","0.22%"
"12-09-2024","41,170.00","41,170.00","41,170.00","41,170.00","","-0.51%"
"11-09-2024","41,380.00","41,380.00","41,380.00","41,380.00","","-0.50%"
"10-09-2024","41,590.00","41,590.00","41,590.00","41,590.00","","-0.24%"
"09-09-2024","41,690.00","41,690.00","41,690.00","41,690.00","","-0.19%"
"06-09-2024","41,770.00","41,770.00","41,770.00","41,770.00","","-0.38%"
"05-09-2024","41,930.00","41,930.00","41,930.00","41,930.00","","0.24%"
"04-09-2024","41,830.00","41,830.00","41,830.00","41,830.00","","-0.02%"
"03-09-2024","41,840.00","41,840.00","41,840.00","41,840.00","","0.46%"
"02-09-2024","41,650.00","41,650.00","41,650.00","41,650.00","","-1.26%"
"30-08-2024","42,180.00","42,180.00","42,180.00","42,180.00","","0.72%"
"29-08-2024","41,880.00","41,880.00","41,880.00","41,880.00","","0.22%"
"28-08-2024","41,790.00","41,790.00","41,790.00","41,790.00","","-0.97%"
"27-08-2024","42,200.00","42,200.00","42,200.00","42,200.00","","0.45%"
"26-08-2024","42,010.00","42,010.00","42,010.00","42,010.00","","0.07%"
"23-08-2024","41,980.00","41,980.00","41,980.00","41,980.00","","-0.62%"
"22-08-2024","42,240.00","42,240.00","42,240.00","42,240.00","","-0.49%"
"21-08-2024","42,450.00","42,450.00","42,450.00","42,450.00","","1.07%"
"20-08-2024","42,000.00","42,000.00","42,000.00","42,000.00","","-0.02%"
"19-08-2024","42,010.00","42,010.00","42,010.00","42,010.00","","0.65%"
"16-08-2024","41,740.00","41,740.00","41,740.00","41,740.00","","-0.22%"
"14-08-2024","41,830.00","41,830.00","41,830.00","41,830.00","","-0.55%"
"13-08-2024","42,060.00","42,060.00","42,060.00","42,060.00","","0.45%"
"12-08-2024","41,870.00","41,870.00","41,870.00","41,870.00","","0.67%"
"09-08-2024","41,590.00","41,590.00","41,590.00","41,590.00","","-1.21%"
"08-08-2024","42,100.00","42,100.00","42,100.00","42,100.00","","-0.45%"
"07-08-2024","42,290.00","42,290.00","42,290.00","42,290.00","","0.28%"
"06-08-2024","42,170.00","42,170.00","42,170.00","42,170.00","","-0.85%"
"05-08-2024","42,530.00","42,530.00","42,530.00","42,530.00","","-0.98%"
"02-08-2024","42,950.00","42,950.00","42,950.00","42,950.00","","-1.20%"
"01-08-2024","43,470.00","43,470.00","43,470.00","43,470.00","","0.00%"
"31-07-2024","43,470.00","43,470.00","43,470.00","43,470.00","","-0.71%"
"30-07-2024","43,780.00","43,780.00","43,780.00","43,780.00","","0.90%"
"29-07-2024","43,390.00","43,390.00","43,390.00","43,390.00","","1.35%"
"26-07-2024","42,810.00","42,810.00","42,810.00","42,810.00","","-0.26%"
"25-07-2024","42,920.00","42,920.00","42,920.00","42,920.00","","0.21%"
"24-07-2024","42,830.00","42,830.00","42,830.00","42,830.00","","-0.72%"
"23-07-2024","43,140.00","43,140.00","43,140.00","43,140.00","","0.44%"
"22-07-2024","42,950.00","42,950.00","42,950.00","42,950.00","","-0.69%"
"19-07-2024","43,250.00","43,250.00","43,250.00","43,250.00","","-0.83%"
"18-07-2024","43,610.00","43,610.00","43,610.00","43,610.00","","-0.95%"
"16-07-2024","44,030.00","44,030.00","44,030.00","44,030.00","","-0.92%"
"15-07-2024","44,440.00","44,440.00","44,440.00","44,440.00","","1.79%"
"12-07-2024","43,660.00","43,660.00","43,660.00","43,660.00","","1.37%"
"11-07-2024","43,070.00","43,070.00","43,070.00","43,070.00","","-0.49%"
"10-07-2024","43,280.00","43,280.00","43,280.00","43,280.00","","0.21%"
"09-07-2024","43,190.00","43,190.00","43,190.00","43,190.00","","-0.48%"
"08-07-2024","43,400.00","43,400.00","43,400.00","43,400.00","","-1.65%"
"05-07-2024","44,130.00","44,130.00","44,130.00","44,130.00","","-1.14%"
"04-07-2024","44,640.00","43,720.00","44,640.00","43,720.00","","0.22%"
"03-07-2024","44,540.00","44,540.00","44,540.00","44,540.00","","-0.36%"
"02-07-2024","44,700.00","44,700.00","44,700.00","44,700.00","","1.11%"
"01-07-2024","44,210.00","44,210.00","44,210.00","44,210.00","","0.05%"
"28-06-2024","44,190.00","44,190.00","44,190.00","44,190.00","","1.14%"
"27-06-2024","43,690.00","43,690.00","43,690.00","43,690.00","","0.67%"
"26-06-2024","43,400.00","43,720.00","43,720.00","43,400.00","","-0.71%"
"25-06-2024","43,710.00","43,710.00","43,710.00","43,710.00","","-1.60%"
"24-06-2024","44,420.00","44,420.00","44,420.00","44,420.00","","-1.40%"
"21-06-2024","45,050.00","45,050.00","45,050.00","45,050.00","","0.40%"
"20-06-2024","44,870.00","44,870.00","44,870.00","44,870.00","","-0.75%"
"19-06-2024","45,210.00","45,210.00","45,210.00","45,210.00","","-0.68%"
"18-06-2024","45,520.00","45,520.00","45,520.00","45,520.00","","-1.60%"
"14-06-2024","46,260.00","43,720.00","46,260.00","43,720.00","","-0.67%"
"13-06-2024","46,570.00","43,720.00","46,570.00","43,720.00","","-0.06%"
"12-06-2024","46,600.00","46,600.00","46,600.00","46,600.00","","-0.41%"
"11-06-2024","46,790.00","46,790.00","46,790.00","46,790.00","","-0.62%"
"10-06-2024","47,080.00","47,080.00","47,080.00","47,080.00","","-0.19%"
"07-06-2024","47,170.00","47,170.00","47,170.00","47,170.00","","0.08%"
"06-06-2024","47,130.00","47,130.00","47,130.00","47,130.00","","-0.65%"
"05-06-2024","47,440.00","47,440.00","47,440.00","47,440.00","","-0.44%"
"04-06-2024","47,650.00","47,650.00","47,650.00","47,650.00","","-0.44%"
"03-06-2024","47,860.00","47,860.00","47,860.00","47,860.00","","1.42%"
"31-05-2024","47,190.00","43,720.00","47,190.00","43,720.00","","0.40%"
"30-05-2024","47,000.00","47,000.00","47,000.00","47,000.00","","0.11%"
"29-05-2024","46,950.00","43,720.00","46,950.00","43,720.00","","0.84%"
"28-05-2024","46,560.00","46,560.00","46,560.00","46,560.00","","-0.34%"
"27-05-2024","46,720.00","46,720.00","46,720.00","46,720.00","","-0.70%"
"24-05-2024","47,050.00","47,050.00","47,050.00","47,050.00","","-0.02%"
"23-05-2024","47,060.00","47,060.00","47,060.00","47,060.00","","-0.86%"
"22-05-2024","47,470.00","47,470.00","47,470.00","47,470.00","","0.40%"
"21-05-2024","47,280.00","47,280.00","47,280.00","47,280.00","","0.38%"
"17-05-2024","47,100.00","47,100.00","47,100.00","47,100.00","","0.73%"
"16-05-2024","46,760.00","46,760.00","46,760.00","46,760.00","","0.73%"
"15-05-2024","46,420.00","46,420.00","46,420.00","46,420.00","","-0.24%"
"14-05-2024","46,530.00","46,530.00","46,530.00","46,530.00","","-0.45%"
"13-05-2024","46,740.00","46,740.00","46,740.00","46,740.00","","-1.64%"
"10-05-2024","47,520.00","47,520.00","47,520.00","47,520.00","","-0.75%"
"09-05-2024","47,880.00","47,880.00","47,880.00","47,880.00","","1.16%"
"08-05-2024","47,330.00","47,330.00","47,330.00","47,330.00","","2.00%"
"07-05-2024","46,400.00","46,400.00","46,400.00","46,400.00","","2.00%"
"06-05-2024","45,490.00","45,490.00","45,490.00","45,490.00","","2.00%"
"03-05-2024","44,600.00","44,600.00","44,600.00","44,600.00","","2.01%"
"02-05-2024","43,720.00","43,720.00","43,720.00","43,720.00","","0.00%"
"30-04-2024","43,720.00","43,720.00","43,720.00","43,720.00","","0.00%"
"29-04-2024","43,720.00","43,720.00","43,720.00","43,720.00","","0.00%"
"26-04-2024","43,720.00","43,720.00","43,720.00","43,720.00","","0.00%"
"25-04-2024","43,720.00","43,720.00","43,720.00","43,720.00","0.01K","-6.00%"
"24-04-2024","46,510.00","46,510.00","46,510.00","46,510.00","","-0.66%"
"23-04-2024","46,820.00","46,820.00","46,820.00","46,820.00","","-0.45%"
"22-04-2024","47,030.00","47,030.00","47,030.00","47,030.00","","-0.15%"
"19-04-2024","47,100.00","47,100.00","47,100.00","47,100.00","","3.09%"
"18-04-2024","45,690.00","45,690.00","45,690.00","45,690.00","","4.01%"
"16-04-2024","43,930.00","43,930.00","43,930.00","43,930.00","","4.00%"
"15-04-2024","42,240.00","42,240.00","42,240.00","42,240.00","","3.99%"
"12-04-2024","40,620.00","40,620.00","40,620.00","40,620.00","0.01K","-5.99%"
"10-04-2024","43,210.00","43,210.00","43,210.00","43,200.00","0.02K","-5.66%"
"09-04-2024","45,800.00","45,800.00","45,800.00","45,800.00","","-0.89%"
"08-04-2024","46,210.00","46,210.00","46,210.00","46,210.00","","2.85%"
"05-04-2024","44,930.00","44,930.00","44,930.00","44,930.00","","3.24%"
"04-04-2024","43,520.00","43,540.00","43,540.00","43,500.00","0.02K","1.94%"
"03-04-2024","42,690.00","42,500.00","43,000.00","42,500.00","0.08K","0.73%"
"02-04-2024","42,380.00","42,380.00","42,380.00","42,380.00","0.01K","1.61%"
"01-04-2024","41,710.00","41,710.00","41,710.00","41,710.00","0.01K","-0.41%"
"28-03-2024","41,880.00","41,800.00","42,080.00","41,800.00","0.09K","0.22%"
"27-03-2024","41,790.00","41,900.00","41,940.00","41,700.00","0.08K","0.41%"
"26-03-2024","41,620.00","41,520.00","41,700.00","41,520.00","0.09K","-0.05%"
"22-03-2024","41,640.00","41,650.00","41,660.00","41,600.00","0.11K","0.00%"
"21-03-2024","41,640.00","41,500.00","41,700.00","41,500.00","0.15K","-1.09%"
"20-03-2024","42,100.00","42,100.00","42,100.00","42,100.00","","-0.02%"
"19-03-2024","42,110.00","41,010.00","42,110.00","40,600.00","","-0.02%"
"18-03-2024","42,120.00","42,120.00","42,120.00","42,120.00","","-0.78%"
